timestamp,symbol,price,volume
2023-01-02 09:15:00,RELIANCE,1004.9,107
2023-01-02 09:15:01,RELIANCE,1005.13,122
2023-01-02 09:15:02,RELIANCE,1005.82,467
2023-01-02 09:15:03,RELIANCE,1005.77,373
2023-01-02 09:15:04,RELIANCE,1005.31,100
2023-01-02 09:15:05,RELIANCE,1005.5,309
2023-01-02 09:15:06,RELIANCE,1005.04,770
2023-01-02 09:15:07,RELIANCE,1005.16,386
2023-01-02 09:15:08,RELIANCE,1005.21,192
2023-01-02 09:15:09,RELIANCE,1005.23,511
2023-01-02 09:15:10,RELIANCE,1005.01,682
2023-01-02 09:15:11,RELIANCE,1004.89,958
2023-01-02 09:15:12,RELIANCE,1004.8,563
2023-01-02 09:15:13,RELIANCE,1004.88,505
2023-01-02 09:15:14,RELIANCE,1004.86,131
2023-01-02 09:15:15,RELIANCE,1005.07,841
2023-01-02 09:15:16,RELIANCE,1005.48,167
2023-01-02 09:15:17,RELIANCE,1004.47,346
2023-01-02 09:15:18,RELIANCE,1005.03,565
2023-01-02 09:15:19,RELIANCE,1004.65,956
2023-01-02 09:15:20,RELIANCE,1004.27,455
2023-01-02 09:15:21,RELIANCE,1004.83,35
2023-01-02 09:15:22,RELIANCE,1005.02,206
2023-01-02 09:15:23,RELIANCE,1004.42,388
2023-01-02 09:15:24,RELIANCE,1004.22,2
2023-01-02 09:15:25,RELIANCE,1003.53,772
2023-01-02 09:15:26,RELIANCE,1003.35,822
2023-01-02 09:15:27,RELIANCE,1002.26,996
2023-01-02 09:15:28,RELIANCE,1001.74,270
2023-01-02 09:15:29,RELIANCE,1001.29,462
2023-01-02 09:15:30,RELIANCE,1001.88,727
2023-01-02 09:15:31,RELIANCE,1002.16,725
2023-01-02 09:15:32,RELIANCE,1002.18,720
2023-01-02 09:15:33,RELIANCE,1002.31,792
2023-01-02 09:15:34,RELIANCE,1003.13,922
2023-01-02 09:15:35,RELIANCE,1003.18,493
2023-01-02 09:15:36,RELIANCE,1003.39,41
2023-01-02 09:15:37,RELIANCE,1002.96,857
2023-01-02 09:15:38,RELIANCE,1002.71,839
2023-01-02 09:15:39,RELIANCE,1001.77,648
2023-01-02 09:15:40,RELIANCE,1001.09,472
2023-01-02 09:15:41,RELIANCE,1001.55,379
2023-01-02 09:15:42,RELIANCE,1001.89,773
2023-01-02 09:15:43,RELIANCE,1002.0,28
2023-01-02 09:15:44,RELIANCE,1002.29,135
2023-01-02 09:15:45,RELIANCE,1002.21,33
2023-01-02 09:15:46,RELIANCE,1002.79,48
2023-01-02 09:15:47,RELIANCE,1003.53,805
2023-01-02 09:15:48,RELIANCE,1002.97,99
2023-01-02 09:15:49,RELIANCE,1002.18,547
2023-01-02 09:15:50,RELIANCE,1002.5,961
2023-01-02 09:15:51,RELIANCE,1002.66,643
2023-01-02 09:15:52,RELIANCE,1002.62,769
2023-01-02 09:15:53,RELIANCE,1002.15,398
2023-01-02 09:15:54,RELIANCE,1002.55,871
2023-01-02 09:15:55,RELIANCE,1002.47,691
